time="2017-09-29T07:38:29.971861643Z" level=debug msg="Listener created for HTTP on unix (/var/run/docker.sock)"
time="2017-09-29T07:38:29.973612833Z" level=info msg="libcontainerd: new containerd process, pid: 19780"
time="2017-09-29T07:38:29.987496719Z" level=warning msg="containerd: low RLIMIT_NOFILE changing to max" current=1024 max=65536 
time="2017-09-29T07:38:29.987898762Z" level=debug msg="containerd: read past events" count=0 
time="2017-09-29T07:38:29.988015554Z" level=debug msg="containerd: supervisor running" cpus=2 memory=6966 runtime=docker-runc runtimeArgs=[] stateDir="/var/run/docker/libcontainerd/containerd" 
time="2017-09-29T07:38:29.988766302Z" level=debug msg="containerd: grpc api on /var/run/docker/libcontainerd/docker-containerd.sock" 
time="2017-09-29T07:38:31.048229559Z" level=debug msg="Loaded container 8114dd99d4b6d2572b9f77a34a31404d96d979038607c4ea6c7c0984e8718d71"
time="2017-09-29T07:38:31.048505824Z" level=debug msg="Loaded container 8238befbbeb706fe26b6add3fd5abd30809099e66e65763b06e12a769db7f34a"
time="2017-09-29T07:38:31.048750527Z" level=debug msg="Loaded container 82c5a611645efa2ed91a023f224f36ec406d2c4c2b9abbc4b27a36670ce88490"
time="2017-09-29T07:38:31.048980139Z" level=debug msg="Loaded container 8367845c9188713783e69cd87c3da11be370e6049c7bc6f1ff598b99e860462b"
time="2017-09-29T07:38:31.049189927Z" level=debug msg="Loaded container 838a5956ccfc9b835a8a92bc178208aecd858f965be17d2a724fc473fe9506c5"
time="2017-09-29T07:38:31.049497458Z" level=debug msg="Loaded container 83c447467388d71eac9c33622e32f3144fd6a29d308c3cd104c4bdf145048fac"
time="2017-09-29T07:38:31.049751038Z" level=debug msg="Loaded container 845f20f85caa1eda512ac4bbaa2967aeaa9533d5fd2c264c6afa4aff756ecdce"
time="2017-09-29T07:38:31.049977494Z" level=debug msg="Loaded container 84a4d8d0ad31f7d32e2db4c8170b1f29bae506fc3c9c22401de7aed54188256c"
time="2017-09-29T07:38:31.050210953Z" level=debug msg="Loaded container 84ea7064221889ab87ee835fe2515875f50c28298ee2952f34e64640659b808a"
time="2017-09-29T07:38:31.050502506Z" level=debug msg="Loaded container 86cca066fe825386567a63d6bd7eda97f40da05db1e2e1ef9601f9d8221ed255"
time="2017-09-29T07:38:31.050746124Z" level=debug msg="Loaded container 87fca8cdf29a2d72832546667e92a0aec2310e9082f5d594b79efbbebb9ef2d3"
time="2017-09-29T07:38:31.050978103Z" level=debug msg="Loaded container 881bce907a905211d4d44a847045432a14ee5ac63f0cdbf7d922bcbb05540128"
time="2017-09-29T07:38:31.051217086Z" level=debug msg="Loaded container 89585e8122eede8487ba258e1491457509f68e4fa93709dc4a1377892d152546"
time="2017-09-29T07:38:31.051491970Z" level=debug msg="Loaded container 8b652b0442bad7965cde3a4b1a1db990f9c0174649caebf241fc4b8254f9dd30"
time="2017-09-29T07:38:31.051753834Z" level=debug msg="Loaded container 8c5499b17605d0931bc34a3b682362c2768e42e4bbe980fd404bb3eaa4a8aba4"
time="2017-09-29T07:38:31.051978318Z" level=debug msg="Loaded container 8c5f2a841790ab7b8510e0d62b1bf78cc8d5c71ab6f08036d4369408a8389334"
time="2017-09-29T07:38:31.052212960Z" level=debug msg="Loaded container 8d43759cd224cf5092e9d49d13d81001aceea412b5666afb598bf0568057104c"
